semestre,codigo,nombre_curso,creditos,categoria,requisito,curricula,docente,dia,horario,tipo,grupo,aula,horas
1,MEG01AIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,HERRERA-VARGAS-MARCO ANTONIO,MARTES,9:00-11:00,Teoría,IN101,IN101,2
1,MEG01AIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,HERRERA-VARGAS-MARCO ANTONIO,JUEVES,9:00-11:00,Práctica,IN101,IN101,2
1,MEG01AIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,HERRERA-VARGAS-MARCO ANTONIO,VIERNES,10:00-11:00,Teoría,IN101,IN101,1
1,MEG01BIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,CJUNO-ROQUE-TIMOTEO,MARTES,9:00-11:00,Teoría,IN102,IN102,2
1,MEG01BIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,CJUNO-ROQUE-TIMOTEO,JUEVES,9:00-11:00,Práctica,IN102,IN102,2
1,MEG01BIN,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,4,ESG,-,PLAN CURRICULAR 2024,CJUNO-ROQUE-TIMOTEO,VIERNES,10:00-11:00,Teoría,IN102,IN102,1
1,MEG02AIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,VILLAVICENCIO-SUNA-PERCY MARCO,LUNES,11:00-13:00,Teoría,IN101,IN101,2
1,MEG02AIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,VILLAVICENCIO-SUNA-PERCY MARCO,MIÉRCOLES,11:00-13:00,Práctica,IN101,IN101,2
1,MEG02AIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,VILLAVICENCIO-SUNA-PERCY MARCO,VIERNES,11:00-12:00,Teoría,IN101,IN101,1
1,MEG02BIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,VIZCARDO-TORRES-TALIA,LUNES,11:00-13:00,Teoría,IN102,IN102,2
1,MEG02BIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,VIZCARDO-TORRES-TALIA,VIERNES,11:00-12:00,Teoría,IN102,IN102,1
1,MEG02BIN,CÁLCULO I,4,ESG,-,PLAN CURRICULAR 2024,TAPARA-CACERES-MARIA SOLEDAD,MIÉRCOLES,11:00-13:00,Práctica,IN102,IN102,2
1,CBG01AIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,CANO-CORDOVA-YOVANA,LUNES,16:00-18:00,Laboratorio,B,LAB CB 02,2
1,CBG01AIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,CANO-CORDOVA-YOVANA,MARTES,11:00-13:00,Teoría,IN101,IN101,2
1,CBG01AIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,CANO-CORDOVA-YOVANA,JUEVES,11:00-13:00,Práctica,IN101,IN101,2
1,CBG01BIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,TACO-PALMA-PERCY,MARTES,11:00-13:00,Teoría,IN102,IN102,2
1,CBG01BIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,RIVERA-GARCÍA-ANTONY ANDREE,MARTES,14:00-16:00,Laboratorio,,LAB CB 03,2
1,CBG01BIN,ECOLOGÍA Y MEDIO AMBIENTE,3,ESG,-,PLAN CURRICULAR 2024,VARGAS-SERRANO-KARINA,MIÉRCOLES,15:00-17:00,Laboratorio,,LAB CB 02,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ARTEAGA-CURIE-ROCIO,LUNES,9:00-11:00,Teoría,IN101,IN101,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ARTEAGA-CURIE-ROCIO,MIÉRCOLES,9:00-11:00,Práctica,IN101,IN101,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ARTEAGA-CURIE-ROCIO,VIERNES,9:00-10:00,Teoría,IN101,IN101,1
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,CARHUARUPAY-MOLLEDA-IVANICH IGOR,MARTES,17:00-19:00,Laboratorio,,Lab. F1,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,CAMAN-ALTAMIRANO-JORGE,MIÉRCOLES,13:00-15:00,Laboratorio,,Lab. F1,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,CAMAN-ALTAMIRANO-JORGE,JUEVES,13:00-15:00,Laboratorio,,Lab. F1,2
1,FIG01AIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,QUISPITUPA-YUPA-MARITZA,VIERNES,15:00-17:00,Laboratorio,,Lab. F1,2
1,FIG01BIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ATAU-ENRIQUEZ-EDILBERTO,LUNES,9:00-11:00,Teoría,IN102,IN102,2
1,FIG01BIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ATAU-ENRIQUEZ-EDILBERTO,MIÉRCOLES,9:00-11:00,Práctica,IN102,IN102,2
1,FIG01BIN,FÍSICA I,4,ESG,-,PLAN CURRICULAR 2024,ATAU-ENRIQUEZ-EDILBERTO,VIERNES,9:00-10:00,Teoría,IN102,IN102,1
1,HIG01AIN,HISTORIA CRÍTICA DEL PERÚ E IDENTIDAD NACIONAL,3,ESG,-,PLAN CURRICULAR 2024,PEÑA-FLORES-EDWAR,LUNES,7:00-9:00,Teoría,IN101,IN101,2
